ptype,has_mandatory_tour,has_joint_tour,nonmandatory_tour_type,0_tours,1_tours,2_tours
1,0,0,1,0.829545455,1,1
2,0,0,1,0.769230769,1,1
3,0,0,1,0.893939394,1,1
4,0,0,1,0.75,1,1
5,0,0,1,0.842105263,1,1
6,0,0,1,0.714285714,1,1
7,0,0,1,0.814814815,1,1
8,0,0,1,0.75,1,1
1,1,0,1,0.789473684,1,1
2,1,0,1,0.6,1,1
3,1,0,1,1,1,1
4,1,0,1,1,1,1
5,1,0,1,0.825910931,1,1
6,1,0,1,0.837209302,1,1
7,1,0,1,0.6,1,1
8,1,0,1,1,1,1
1,0,1,1,0.842105263,1,1
2,0,1,1,1,1,1
3,0,1,1,1,1,1
4,0,1,1,1,1,1
5,0,1,1,1,1,1
6,0,1,1,1,1,1
7,0,1,1,1,1,1
8,0,1,1,1,1,1
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,0.777777778,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
8,1,1,1,1,1,1
1,0,0,2,0.892694064,0.99086758,1
2,0,0,2,0.84057971,0.992753623,1
3,0,0,2,0.971014493,1,1
4,0,0,2,0.96969697,1,1
5,0,0,2,0.870056497,0.994350282,1
6,0,0,2,0.866666667,1,1
7,0,0,2,0.971014493,1,1
8,0,0,2,0.931034483,1,1
1,1,0,2,0.885057471,1,1
2,1,0,2,0.727272727,1,1
3,1,0,2,0.971428571,1,1
4,1,0,2,1,1,1
5,1,0,2,0.895977809,0.993065187,1
6,1,0,2,0.885185185,1,1
7,1,0,2,1,1,1
8,1,0,2,1,1,1
1,0,1,2,0.910087719,0.993421053,1
2,0,1,2,0.88,1,1
3,0,1,2,0.8,1,1
4,0,1,2,1,1,1
5,0,1,2,1,1,1
6,0,1,2,1,1,1
7,0,1,2,1,1,1
8,0,1,2,1,1,1
1,1,1,2,1,1,1
2,1,1,2,1,1,1
3,1,1,2,1,1,1
4,1,1,2,1,1,1
5,1,1,2,1,1,1
6,1,1,2,0.964912281,1,1
7,1,1,2,1,1,1
8,1,1,2,0.888888889,1,1
1,0,0,3,0.935643564,0.997524752,1
2,0,0,3,0.905660377,1,1
3,0,0,3,0.978813559,1,1
4,0,0,3,0.928571429,1,1
5,0,0,3,0.901515152,0.992424242,1
6,0,0,3,0.863636364,1,1
7,0,0,3,0.947368421,1,1
8,0,0,3,0.913043478,1,1
1,1,0,3,0.893333333,0.986666667,1
2,1,0,3,1,1,1
3,1,0,3,1,1,1
4,1,0,3,0.857142857,1,1
5,1,0,3,0.916071429,0.996428571,1
6,1,0,3,0.856382979,0.984042553,1
7,1,0,3,1,1,1
8,1,0,3,1,1,1
1,0,1,3,0.916201117,0.991620112,1
2,0,1,3,0.912280702,0.98245614,1
3,0,1,3,1,1,1
4,0,1,3,1,1,1
5,0,1,3,1,1,1
6,0,1,3,0.833333333,1,1
7,0,1,3,0.961538462,1,1
8,0,1,3,1,1,1
1,1,1,3,0.97826087,0.989130435,1
2,1,1,3,0.97260274,1,1
3,1,1,3,1,1,1
4,1,1,3,1,1,1
5,1,1,3,0.995762712,1,1
6,1,1,3,0.921568627,0.980392157,1
7,1,1,3,1,1,1
8,1,1,3,1,1,1
1,0,0,4,0.9218107,0.995884774,1
2,0,0,4,0.900900901,1,1
3,0,0,4,0.997354497,1,1
4,0,0,4,0.991176471,1,1
5,0,0,4,0.921568627,0.980392157,1
6,0,0,4,0.954545455,1,1
7,0,0,4,1,1,1
8,0,0,4,0.954545455,1,1
1,1,0,4,0.941176471,0.970588235,1
2,1,0,4,0.925925926,1,1
3,1,0,4,1,1,1
4,1,0,4,0.875,1,1
5,1,0,4,0.915322581,1,1
6,1,0,4,0.947674419,0.994186047,1
7,1,0,4,0.666666667,1,1
8,1,0,4,1,1,1
1,0,1,4,0.925925926,0.987654321,1
2,0,1,4,0.903703704,1,1
3,0,1,4,1,1,1
4,0,1,4,1,1,1
5,0,1,4,1,1,1
6,0,1,4,1,1,1
7,0,1,4,1,1,1
8,0,1,4,1,1,1
1,1,1,4,1,1,1
2,1,1,4,0.911111111,1,1
3,1,1,4,1,1,1
4,1,1,4,1,1,1
5,1,1,4,1,1,1
6,1,1,4,0.962962963,1,1
7,1,1,4,1,1,1
8,1,1,4,1,1,1
1,0,0,5,0.976744186,1,1
2,0,0,5,0.981818182,1,1
3,0,0,5,0.985915493,1,1
4,0,0,5,1,1,1
5,0,0,5,1,1,1
6,0,0,5,1,1,1
7,0,0,5,1,1,1
8,0,0,5,0.875,1,1
1,1,0,5,1,1,1
2,1,0,5,1,1,1
3,1,0,5,0.964285714,1,1
4,1,0,5,1,1,1
5,1,0,5,0.985714286,1,1
6,1,0,5,0.951807229,1,1
7,1,0,5,1,1,1
8,1,0,5,1,1,1
1,0,1,5,0.926605505,1,1
2,0,1,5,0.941176471,1,1
3,0,1,5,1,1,1
4,0,1,5,1,1,1
5,0,1,5,1,1,1
6,0,1,5,1,1,1
7,0,1,5,1,1,1
8,0,1,5,1,1,1
1,1,1,5,1,1,1
2,1,1,5,1,1,1
3,1,1,5,0.972972973,1,1
4,1,1,5,1,1,1
5,1,1,5,1,1,1
6,1,1,5,0.933333333,1,1
7,1,1,5,1,1,1
8,1,1,5,1,1,1
1,0,0,6,0.93837535,0.988795518,1
2,0,0,6,0.888888889,1,1
3,0,0,6,0.966832504,0.998341625,1
4,0,0,6,0.942028986,1,1
5,0,0,6,0.88034188,1,1
6,0,0,6,0.925925926,1,1
7,0,0,6,0.967741935,1,1
8,0,0,6,0.90625,1,1
1,1,0,6,0.85915493,1,1
2,1,0,6,0.818181818,0.96969697,1
3,1,0,6,1,1,1
4,1,0,6,0.952380952,1,1
5,1,0,6,0.879237288,0.997881356,1
6,1,0,6,0.862944162,0.984771574,1
7,1,0,6,0.9,1,1
8,1,0,6,1,1,1
1,0,1,6,0.927835052,0.996563574,1
2,0,1,6,0.859375,0.9921875,1
3,0,1,6,1,1,1
4,0,1,6,1,1,1
5,0,1,6,0.92,1,1
6,0,1,6,1,1,1
7,0,1,6,0.904761905,1,1
8,0,1,6,1,1,1
1,1,1,6,0.982758621,1,1
2,1,1,6,0.927710843,0.987951807,1
3,1,1,6,0.982954545,1,1
4,1,1,6,0.938679245,1,1
5,1,1,6,1,1,1
6,1,1,6,0.9375,1,1
7,1,1,6,1,1,1
8,1,1,6,1,1,1
