model_selector,segment,tot_hhs,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,K_8,G9_12,Univ_Enrollment
workplace,work_low,0,0,0.31,0.504,0.086,0.905,0.215,0.008,0.059,0.238,0.162,0,0.512,0.457,0.984,0.163,1,0.429,0.07,0,0,0
workplace,work_med,0,0.001,0.359,0.944,0.153,0.883,0.254,0.035,0.095,0.29,0.389,0.004,0.345,0.511,1,0.186,0.661,0.348,0.205,0,0,0
workplace,work_high,0,0.005,0.297,1,0.148,0.593,0.178,0.05,0.11,0.355,0.35,0.007,0.228,0.587,0.843,0.123,0.33,0.228,0.213,0,0,0
workplace,work_veryhigh,0,0.006,0.162,1,0.133,0.363,0.101,0.055,0.104,0.34,0.475,0.005,0.164,0.498,0.699,0.094,0.214,0.14,0.143,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
school,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
non_mandatory,escort,0.192,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0.164,0.078,0.791,0,0,1,0.768,0
non_mandatory,shopping,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005,0.003,0,0,0,0
non_mandatory,eatout,0.004,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
non_mandatory,othmaint,0.029,0,0,0,0.026,0.587,0,0,0,0.268,0,0,0.445,0.161,1,0.556,0.336,0.501,0.478,0,0,0
non_mandatory,social,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0.177,1,0,0,0,0,0
non_mandatory,othdiscr,0.184,0,0,0,0,0.185,0,0,0,0,0,0,0,0.899,0.511,0.004,1.081,1,0,0,0,0
atwork,atwork,0.03,0,0,0,0.049,1,0,0,0,0.141,0,0,0.482,0.048,0.092,0.013,0,0,0.053,0,0,0
trip,work,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
trip,escort,0.001,0,0,0,0,0.225,0,0,0,0,0,0,0,0.144,0.144,0.144,0.144,0,0,0.465,0.166,0
trip,shopping,0.001,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,eatout,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0.258,0.258,0.258,0.258,0,0,0,0,0
trip,othmaint,0.001,0,0,0,0,0.481,0,0,0,0,0,0,0,0.518,0.518,0.518,0.518,0,0,0,0,0
trip,social,0.001,0,0,0,0,0.521,0,0,0,0,0,0,0,0.478,0.478,0.478,0.478,0,0,0,0,0
trip,othdiscr,0.252,0,0,0,0,0.212,0,0,0,0,0,0,0,0.273,0.273,0.273,0.273,0.165,0.165,0,0.098,0
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,,,,,,,,,,,,0
#trip,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#trip,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
