Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Middle to Low Income HH ,(income_in_thousands>19999) & (income_in_thousands<50000),,,,,,,,,,,,,,,,
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,,,,,,,,,,,,,,,
High Income HH,(income_in_thousands>=100000),,,,,,,,,,,,,,,,
Number of HH Persons,hhsize,,,,,,,,,,,,,,,,
Number of full time workes in HH,num_full,,,,,,,,,,,,,,,,
Number of Students in HH,num_student,,,,,,,,,,,,,,,,
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,,,,,,,,,,,,,,,
Num kids between 4 and 15 (including) years old,num_age_5_15,,,,,,,,,,,,,,,,
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Adults (>= 16 years old),num_adult,,,,,,,,,,,,,,,,
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,,,,,,,,,,,,,,,
Number of Vehicles,auto_ownership,,,,,,,,,,,,,,,,
Dummy for female,~is_joint & female,,,,,,,,,,,,,,,,
Dummy for all stops made by transit,tour_mode_is_transit,,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
Dummy for walking to all stops,tour_mode_is_non_motorized,,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578,-2.4578
Number of work tours undertaken by the person,~is_joint * num_work_tours,,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153,-0.6153
Number of university tours tours undertaken by the person,~is_joint * num_univ_tours,,,,,,,,,,,,,,,,
Number of shool tours tours undertaken by the person,~is_joint * num_school_tours,,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176,-0.8176
Number of escort tours tours undertaken by the person,~is_joint * num_escort_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the person,~is_joint * num_shop_tours,,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629,-0.629
Number of maintenace tours tours undertaken by the person,~is_joint * num_maint_tours,,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715,-0.3715
Number of eating tours tours undertaken by the person,~is_joint * num_eatout_tours,,,,,,,,,,,,,,,,
Number of visit tours tours undertaken by the person,~is_joint * num_social_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the houshold,num_hh_shop_tours,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Outgoing stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Return stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
AM Peak departure between 6AM and 7 AM (including) Interacted with outbound tours,(start>6) & (start<11),,,,,,,,,,,,,,,,
Arrival later than 17:00.,(end > 28),,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383,-0.6383
Evening Arrival (>=19:00) Interacted with return tours,(end > 32),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 11 hours,(duration > 21),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,(duration > 17),,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335,0.8335
Dummy for the duration of the tour being equal or greater than or equal to 3 hours ,(duration > 5),,,,,,,,,,,,,,,,
HH accesibility for outbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
HH accesibility for inbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for outbound tours. Interaction,pracc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for return tours. Interaction,pracc,,,,,,,,,,,,,,,,
dummy for distance less than 10 Miles ,(distance_in_miles < 10),,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756,0.3756
dummy for distance in miles,distance_in_miles,,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225
#distance in miles * Number of stops,distance_in_miles * @@numStopsAlt,,,,,,,,,,,,,,,,
No stops if tour mode is driveTransit,tour_mode_is_drive_transit,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alternative specific constant for outbound stops,~is_joint,,,,,-1.581,-1.581,-1.581,-1.581,-3.323,-3.323,-3.323,-3.323,-4.623,-4.623,-4.623,-4.623
Alternative specific constant for return  stops,~is_joint,,-0.921,-2.336,-2.927,,-0.921,-2.336,-2.927,,-0.921,-2.336,-2.927,,-0.921,-2.336,-2.927
Alternative specific constant for the total number of stops,~is_joint,,,0,0,,0,0,0.863,0,0,0.863,0.939,0,0.863,0.939,0.939
Alternative specific constant for outbound stops on joint tours,is_joint,,,,,-1.783,-1.783,-1.783,-1.783,-4.067,-4.067,-4.067,-4.067,-4.998,-4.998,-4.998,-4.998
Alternative specific constant for return  stops on joint tours,is_joint,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379
Alternative specific constant for the total number of stops on joint tours,is_joint,,,0,0,,0,0,0.518,0,0,0.518,1.497,0,0.518,1.497,1.497
Phase1_Calibration,~is_joint,,0.187263987,0.670000983,0.992092361,0.283823906,0.461537002,0.958158373,-0.156485013,0.806611419,0.872137091,0.343003767,0.7657564,2.063744949,1.13525473,1.376716611,2.113754844
